track,id,playlist_id,mode,key,variable,value
Part of Me,4aosx8uOGPG9aJjm0Dj4dN,3FInOSJaKv5QzLQrd3lCgA,1.0,7.0,danceability,0.689
Te acuerdas?,25tHQXFLUN38dQXQyKu9Ev,3FInOSJaKv5QzLQrd3lCgA,1.0,0.0,danceability,0.773
Mortal Man,1QGac4OblpXqHpk9AubVuo,3FInOSJaKv5QzLQrd3lCgA,1.0,4.0,danceability,0.69
Homesick,44BBRAJHar6wQqKOxdyTzT,3FInOSJaKv5QzLQrd3lCgA,1.0,7.0,danceability,0.649
All The Gold,5emxFj7cwuXe9JRp7G4UKD,3FInOSJaKv5QzLQrd3lCgA,1.0,11.0,danceability,0.652
nana triste,721Lxh9pNJJhNERON4Zjmw,3FInOSJaKv5QzLQrd3lCgA,0.0,10.0,danceability,0.474
Golpe de Sueños (Barcelona),3AhG3jtSpnv8J12zbDsOBa,3FInOSJaKv5QzLQrd3lCgA,0.0,0.0,danceability,0.77
Dancing in the Sun,2AUA9bXNZIM0EAu2wyDVfB,3FInOSJaKv5QzLQrd3lCgA,1.0,1.0,danceability,0.644
Back to You,7nlGMUcyIGWZQFkOOxOWl5,3FInOSJaKv5QzLQrd3lCgA,1.0,0.0,danceability,0.499
Come Away (Unplugged),06qWAkT0jP7Tw0uaykZx2F,3FInOSJaKv5QzLQrd3lCgA,1.0,0.0,danceability,0.669
circus,2vw5QToThZPsRfg13w4YeG,3FInOSJaKv5QzLQrd3lCgA,1.0,10.0,danceability,0.582
Sirens - The Headphones Version,4n6ydJOPVcI0RCy1MCndfA,3FInOSJaKv5QzLQrd3lCgA,1.0,7.0,danceability,0.642
Lemons,6BB5FPCwlXagRl8r6AZSbB,3FInOSJaKv5QzLQrd3lCgA,1.0,6.0,danceability,0.601
XO,7cpCU3Denug5NGZsSpQl8v,3FInOSJaKv5QzLQrd3lCgA,1.0,2.0,danceability,0.431
Postcards,68PgroZprzXnRYUGbzFGE6,3FInOSJaKv5QzLQrd3lCgA,1.0,7.0,danceability,0.726
'Til I Found You,0LcCeKrpFTzqKrTAzNFIHo,3FInOSJaKv5QzLQrd3lCgA,0.0,11.0,danceability,0.696
Only For A Moment,5M306C6g4kpkzDXGfzjUgC,3FInOSJaKv5QzLQrd3lCgA,1.0,0.0,danceability,0.741
110,5ocNWa8l7pkt9jEvYJLQzp,3FInOSJaKv5QzLQrd3lCgA,1.0,11.0,danceability,0.606
Higher Stakes,2aZ05XZQLTGrYNe1EUSXLn,3FInOSJaKv5QzLQrd3lCgA,1.0,3.0,danceability,0.508
Missing Piece,5YqdiryRmdAzYFlxo43hAJ,3FInOSJaKv5QzLQrd3lCgA,1.0,0.0,danceability,0.628
Save Me,2lngSOnNo8TtPnviH2wLyz,35oLMiAK4VM2T0ek3PTPIc,1.0,2.0,danceability,0.799
September,3jseE4aPONGUAQAe62AXX2,35oLMiAK4VM2T0ek3PTPIc,1.0,6.0,danceability,0.754
Venecia,6ILxp5GFv6G1UO1shDnaaW,3FInOSJaKv5QzLQrd3lCgA,1.0,10.0,danceability,0.352
Dispárame,41V9Bgq21FJZNGfCabiChb,3FInOSJaKv5QzLQrd3lCgA,1.0,2.0,danceability,0.747
Godlight,3t42QATkLwV44TjezAuOnt,3FInOSJaKv5QzLQrd3lCgA,1.0,4.0,danceability,0.377
Bonfire Heart,2N0volXQpwsvjDorTTxBAU,3FInOSJaKv5QzLQrd3lCgA,1.0,0.0,danceability,0.575
Sweet Child O Mine,5vOWPj3J5C937jSNyOIoLV,3FInOSJaKv5QzLQrd3lCgA,1.0,7.0,danceability,0.487
Home,6L5yAePbVSnHbMiG8N6PnJ,7ozIozDp260fjNOZy1yzRG,0.0,0.0,danceability,0.714
