,artist,artist_id,genres,track_id,popularity,image_url
110,Pete Seeger,1P9syEkl41IFowWIJN7ZBY,banjo,6NSpccyjAT80BesuPjdLn1,46,https://i.scdn.co/image/ab6761610000e5eb36c56a49814607d8035749b9
111,Pete Seeger,1P9syEkl41IFowWIJN7ZBY,folk,6NSpccyjAT80BesuPjdLn1,46,https://i.scdn.co/image/ab6761610000e5eb36c56a49814607d8035749b9
112,Pete Seeger,1P9syEkl41IFowWIJN7ZBY,folk rock,6NSpccyjAT80BesuPjdLn1,46,https://i.scdn.co/image/ab6761610000e5eb36c56a49814607d8035749b9
113,Pete Seeger,1P9syEkl41IFowWIJN7ZBY,old-time,6NSpccyjAT80BesuPjdLn1,46,https://i.scdn.co/image/ab6761610000e5eb36c56a49814607d8035749b9
114,Pete Seeger,1P9syEkl41IFowWIJN7ZBY,traditional folk,6NSpccyjAT80BesuPjdLn1,46,https://i.scdn.co/image/ab6761610000e5eb36c56a49814607d8035749b9
115,Bright Eyes,5o206eFLx38glA2bb4zqIU,anti-folk,5OiaAaIMYlCZONyDBxqk4G,59,https://i.scdn.co/image/ab6761610000e5eb02abd6ee4d0be5916d415f97
116,Bright Eyes,5o206eFLx38glA2bb4zqIU,chamber pop,5OiaAaIMYlCZONyDBxqk4G,59,https://i.scdn.co/image/ab6761610000e5eb02abd6ee4d0be5916d415f97
117,Bright Eyes,5o206eFLx38glA2bb4zqIU,indie pop,5OiaAaIMYlCZONyDBxqk4G,59,https://i.scdn.co/image/ab6761610000e5eb02abd6ee4d0be5916d415f97
118,Bright Eyes,5o206eFLx38glA2bb4zqIU,indie rock,5OiaAaIMYlCZONyDBxqk4G,59,https://i.scdn.co/image/ab6761610000e5eb02abd6ee4d0be5916d415f97
119,Bright Eyes,5o206eFLx38glA2bb4zqIU,melancholia,5OiaAaIMYlCZONyDBxqk4G,59,https://i.scdn.co/image/ab6761610000e5eb02abd6ee4d0be5916d415f97
120,Bright Eyes,5o206eFLx38glA2bb4zqIU,omaha indie,5OiaAaIMYlCZONyDBxqk4G,59,https://i.scdn.co/image/ab6761610000e5eb02abd6ee4d0be5916d415f97
121,Bright Eyes,5o206eFLx38glA2bb4zqIU,stomp and holler,5OiaAaIMYlCZONyDBxqk4G,59,https://i.scdn.co/image/ab6761610000e5eb02abd6ee4d0be5916d415f97
122,Charlie Cunningham,78CiW0UJbHspFaVuVexOK6,british singer-songwriter,5WbbSGSA8qb601YH4SqLA6,58,https://i.scdn.co/image/ab6761610000e5ebb60dfc30464b4d80cb3f0db2
123,Charlie Cunningham,78CiW0UJbHspFaVuVexOK6,indie folk,5WbbSGSA8qb601YH4SqLA6,58,https://i.scdn.co/image/ab6761610000e5ebb60dfc30464b4d80cb3f0db2
124,Seabear,6hLIT4e0yUtIa8DXwst4mi,icelandic indie,77pUuO8xtAzaG6TaDcbAxK,31,https://i.scdn.co/image/ab6761610000e5ebecd41e93d54214b1761b1431
125,Seabear,6hLIT4e0yUtIa8DXwst4mi,icelandic pop,77pUuO8xtAzaG6TaDcbAxK,31,https://i.scdn.co/image/ab6761610000e5ebecd41e93d54214b1761b1431
126,Terrible Sons,3eaJ1prUilN6z7yoFx9u2g,nz pop,02p7KhGzlicIY8rvRVVION,27,https://i.scdn.co/image/ab6761610000e5eb7f62e98b6d59dcb71143875a
127,Tall Heights,1OVaGC0CDZaxjcPxclSNmp,boston folk,4HMEqwIQ39BhjGHxWhDjJw,52,https://i.scdn.co/image/ab6761610000e5eb2f28b6d9e96fa016cc643e90
128,Tall Heights,1OVaGC0CDZaxjcPxclSNmp,folk-pop,4HMEqwIQ39BhjGHxWhDjJw,52,https://i.scdn.co/image/ab6761610000e5eb2f28b6d9e96fa016cc643e90
129,Tall Heights,1OVaGC0CDZaxjcPxclSNmp,indie folk,4HMEqwIQ39BhjGHxWhDjJw,52,https://i.scdn.co/image/ab6761610000e5eb2f28b6d9e96fa016cc643e90
130,Tall Heights,1OVaGC0CDZaxjcPxclSNmp,indiecoustica,4HMEqwIQ39BhjGHxWhDjJw,52,https://i.scdn.co/image/ab6761610000e5eb2f28b6d9e96fa016cc643e90
131,Tall Heights,1OVaGC0CDZaxjcPxclSNmp,new americana,4HMEqwIQ39BhjGHxWhDjJw,52,https://i.scdn.co/image/ab6761610000e5eb2f28b6d9e96fa016cc643e90
132,Tall Heights,1OVaGC0CDZaxjcPxclSNmp,stomp and holler,4HMEqwIQ39BhjGHxWhDjJw,52,https://i.scdn.co/image/ab6761610000e5eb2f28b6d9e96fa016cc643e90
133,Seabear,6hLIT4e0yUtIa8DXwst4mi,icelandic indie,5397UpyFdp4FSPE8xAZHHx,31,https://i.scdn.co/image/ab6761610000e5ebecd41e93d54214b1761b1431
134,Seabear,6hLIT4e0yUtIa8DXwst4mi,icelandic pop,5397UpyFdp4FSPE8xAZHHx,31,https://i.scdn.co/image/ab6761610000e5ebecd41e93d54214b1761b1431
135,Roo Panes,0XHM5ZNJDU8e4CfbWMeSzC,british singer-songwriter,4C2aiAVTTVyZbCQZst5Xu1,58,https://i.scdn.co/image/ab6761610000e5eb5e50373fd384516f8090c762
136,Roo Panes,0XHM5ZNJDU8e4CfbWMeSzC,indie folk,4C2aiAVTTVyZbCQZst5Xu1,58,https://i.scdn.co/image/ab6761610000e5eb5e50373fd384516f8090c762
137,Roo Panes,0XHM5ZNJDU8e4CfbWMeSzC,indiecoustica,4C2aiAVTTVyZbCQZst5Xu1,58,https://i.scdn.co/image/ab6761610000e5eb5e50373fd384516f8090c762
