track,id,playlist_id,playlist,top-track,duration_ms,mode,key,variable,value
Hit the Road Jack,2HoqbEOXgbDSLZ5XCePEXt,5hJEgBdGwr6dWyf4lieSV9,2022,False,119880.0,0.0,8.0,loudness_normalized,0.37258787306039076
Born Again,18zQTt3ifDv6iLni2YuXMg,5hJEgBdGwr6dWyf4lieSV9,2022,False,213333.0,0.0,0.0,loudness_normalized,0.23732585434259057
La luna me sabe a poco,16taQAqrrfqCwbkbKFr2OH,5hJEgBdGwr6dWyf4lieSV9,2022,False,267186.0,1.0,1.0,loudness_normalized,0.14565740938328808
Y Nos Dieron Las Diez (feat. Zahara) - Tributo a Sabina,2p0ol5BlwQtbiioBGytxy4,5hJEgBdGwr6dWyf4lieSV9,2022,False,309913.0,1.0,0.0,loudness_normalized,0.22543669786300027
Calle Melancolía,0qpRgZ1vj7OwjwWdqBwjpK,5hJEgBdGwr6dWyf4lieSV9,2022,False,380973.0,1.0,4.0,loudness_normalized,0.16657013078072122
Adrenalina,001hyVfKgE2R1a0TBXeLlV,5hJEgBdGwr6dWyf4lieSV9,2022,False,219742.0,1.0,11.0,loudness_normalized,0.3036002804621528
MMMBop,0lnxrQAd9ZxbhBBe7d8FO8,5hJEgBdGwr6dWyf4lieSV9,2022,False,268653.0,1.0,9.0,loudness_normalized,0.18111148370575858
Shiny Happy People,1v2zyAJrChw5JnfafSkwkJ,5hJEgBdGwr6dWyf4lieSV9,2022,False,225787.0,1.0,9.0,loudness_normalized,0.10922781452915889
Valiente,0pyT9W877RcYtVdl1ZmlvQ,5hJEgBdGwr6dWyf4lieSV9,2022,False,208893.0,0.0,4.0,loudness_normalized,0.099381154162729
Suspicious Minds,1H5IfYyIIAlgDX8zguUzns,5hJEgBdGwr6dWyf4lieSV9,2022,False,261280.0,1.0,7.0,loudness_normalized,0.31994024936743587
Medias Rotas,06EdGF66klIaQDFoUCALSv,3FInOSJaKv5QzLQrd3lCgA,JP,False,176560.0,0.0,8.0,loudness_normalized,0.2738773892631771
Mesa Para Dos,2KFvKwbWqJKtjHq3Cblrtf,5hJEgBdGwr6dWyf4lieSV9,2022,False,147302.0,0.0,4.0,loudness_normalized,0.3130811206292107
Christmas Lights,6PWwPv9eoltgzMRrBVRHWX,5hJEgBdGwr6dWyf4lieSV9,2022,False,183410.0,1.0,9.0,loudness_normalized,0.14544401426698775
Lo que yo te he querido (pretérito perfecto),5lSTcV5eJeYHCRg2xowy5X,5hJEgBdGwr6dWyf4lieSV9,2022,False,184448.0,1.0,7.0,loudness_normalized,0.1434320031704417
Those Little Things - BSO Estrella Damm 2016,6HLIHF8UeB8PTlN3fGxwgE,3FInOSJaKv5QzLQrd3lCgA,JP,False,207800.0,1.0,8.0,loudness_normalized,0.2008352894552327
Su cabeza en mi pecho,3Mbi3ZzOqOtUMjv2k1F0n0,5hJEgBdGwr6dWyf4lieSV9,2022,False,129039.0,1.0,9.0,loudness_normalized,0.2343078376977715
Pano Corado,1UborfcasVDJivqu8OEvoQ,5hJEgBdGwr6dWyf4lieSV9,2022,False,217514.0,0.0,2.0,loudness_normalized,0.20321312075115075
Aglio e olio,19yag4qL1J2lwjSSgwSXVG,5hJEgBdGwr6dWyf4lieSV9,2022,False,225827.0,1.0,11.0,loudness_normalized,0.23132030606956677
Trocito de Marte,2oVdME9vk0rgwbF5CeTvkK,5hJEgBdGwr6dWyf4lieSV9,2022,False,206033.0,0.0,8.0,loudness_normalized,0.16272901868731515
Crímenes perfectos,6guoJhM9n5Fm7npXJ1rfsM,5hJEgBdGwr6dWyf4lieSV9,2022,False,264840.0,1.0,9.0,loudness_normalized,0.2772612261073682
NADA QUE DECIR,2Qnjj1OqW9NDTzBeanuXIP,5hJEgBdGwr6dWyf4lieSV9,2022,False,213851.0,1.0,4.0,loudness_normalized,0.15227265798859857
